record_id,record_group,source_document,source_table,source_page,mix_id,mix_proportion_reported,fa_percent_numeric,ggbs_percent_numeric,sf_percent_numeric,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,fly_ash_kg_m3,ggbs_kg_m3,sf_kg_m3,naoh_kg_m3,na2sio3_kg_m3,naoh_molarity_M,superplasticizer_percent,reported_al_ratio,aas_b_ratio,curing_regime,curing_temperature_C,curing_duration_hours,mechanical_test_age_days,acid_type,acid_concentration_percent,acid_exposure_days,slump_mm,workability_class,compressive_strength_mpa,split_tensile_strength_mpa,flexural_strength_mpa,upv_m_s,upv_quality_reported,rebound_estimated_strength_mpa,initial_mass_kg,exposed_mass_kg,mass_change_percent_derived,initial_compressive_strength_mpa,residual_compressive_strength_mpa,strength_loss_percent_derived,data_status,notes
GPC-0011,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,51,Medium,7.3,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0012,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,58,Medium,15.0,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0013,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,45,Low,7.56,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records.
GPC-0014,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,47,Low,5.9,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0015,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,48,Low,14.56,,,,,,,,,,,,SOURCE_REPORTED,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio.
GPC-0016,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,15,Very Low,11.36,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0017,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,21,Very Low,6.5,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0018,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,24,Very Low,14.58,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0019,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,25,Very Low,26.53,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0020,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,28,Very Low,8.28,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0021,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,35,Very Low,15.1,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0022,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,30,Very Low,26.94,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0023,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,32,Very Low,9.1,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0024,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,38,Very Low,15.15,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0025,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,33,Very Low,4.8,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0026,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,35,Very Low,3.6,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0027,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,39,Very Low,6.32,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0028,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.4,Ambient,,,28,,,,41,Low,2.25,,,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. The 28-day compressive value at AAS:B=0.40 differs from the value reported for the same mix in Table 8; both source values are retained as separate records. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0029,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.45,Ambient,,,28,,,,43,Low,1.12,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0030,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Journal Paper.pdf,Tables 5 and 6,3-4,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Table 4: 1:2; Table 6: 2:1,0.5,Ambient,,,28,,,,49,Low,2.28,,,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,Fresh slump from Table 5 and 28-day ambient compressive strength from Table 6 are combined for the same mix and AAS:B ratio. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0031,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,20.24,1.46,1.57,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank.
GPC-0032,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,28.3,1.54,1.75,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank.
GPC-0033,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,23.8,1.62,1.76,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank.
GPC-0034,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,18.22,1.17,1.5,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank.
GPC-0035,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,18.1,1.1,1.23,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank.
GPC-0036,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,17.86,0.86,0.9,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0037,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,17.69,0.65,0.76,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0038,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,17.63,0.53,0.75,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0039,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,4.8,0.34,0.61,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0040,AMBIENT_7D_MECHANICAL,Journal Paper.pdf,Table 7,5,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Not stated in Table 7,,Ambient,,,7,,,,,,2.25,0.16,0.5,,,,,,,,,,SOURCE_REPORTED;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 7 and has therefore been left blank. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0041,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M1,0:90:10,0,90,10,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,43.56,2.22,3.0,,,,,,,,,,CONFLICTING_ACROSS_TABLES,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained.
GPC-0042,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M2,10:80:10,10,80,10,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,53.57,3.0,4.0,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank.
GPC-0043,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M3,20:70:10,20,70,10,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,47.3,3.53,4.6,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank.
GPC-0044,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M4,30:60:10,30,60,10,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,34.32,2.06,2.2,,,,,,,,,,SOURCE_REPORTED,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank.
GPC-0045,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M5,40:50:10,40,50,10,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,30.36,1.97,2.1,,,,,,,,,,CONFLICTING_ACROSS_TABLES,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained.
GPC-0046,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M6,50:50:10,50,40,10,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,28.54,1.9,1.98,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0047,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M7,60:40:10,60,30,10,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,26.94,1.82,1.65,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0048,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M8,70:30:10,70,20,10,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,26.54,1.0,1.5,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0049,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M9,80:20:10,80,10,10,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,11.36,0.42,0.91,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
GPC-0050,AMBIENT_28D_MECHANICAL,Journal Paper.pdf,Table 8,6,M10,90:10:10,90,0,10,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10,2,Not stated in Table 8,,Ambient,,,28,,,,,,7.56,0.078,0.48,,,,,,,,,,CONFLICTING_ACROSS_TABLES;CONFLICTING_MIX_LABEL,AAS:B ratio is not explicitly stated in Table 8 and has therefore been left blank. The compressive value differs from Table 6 at AAS:B=0.40; both values are retained. Reported mix-proportion text conflicts with the GGBS percentage and constituent masses; numeric FA/GGBS/SF fields follow the percentage/mass columns while the original text is preserved.
