record_id,record_group,dataset_origin,data_block,data_locator,mix_id,mix_proportion_label,fa_percent_numeric,ggbs_percent_numeric,sf_percent_numeric,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,fly_ash_kg_m3,ggbs_kg_m3,sf_kg_m3,naoh_kg_m3,na2sio3_kg_m3,naoh_molarity_M,superplasticizer_percent,activator_ratio_label,aas_b_ratio,curing_regime,curing_temperature_C,curing_duration_hours,mechanical_test_age_days,acid_type,acid_concentration_percent,acid_exposure_days,slump_mm,workability_class,compressive_strength_mpa,split_tensile_strength_mpa,flexural_strength_mpa,upv_m_s,upv_quality_label,rebound_estimated_strength_mpa,initial_mass_kg,exposed_mass_kg,mass_change_percent_derived,initial_compressive_strength_mpa,residual_compressive_strength_mpa,strength_loss_percent_derived,data_status,notes
GPC-0011,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0011,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,51.0,Medium,7.3,,,,,,,,,,,,IMPORTED,
GPC-0012,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0012,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,58.0,Medium,15.0,,,,,,,,,,,,IMPORTED,
GPC-0013,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0013,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,45.0,Low,7.56,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0014,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0014,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,47.0,Low,5.9,,,,,,,,,,,,IMPORTED,
GPC-0015,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0015,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,48.0,Low,14.56,,,,,,,,,,,,IMPORTED,
GPC-0016,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0016,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,15.0,Very Low,11.36,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0017,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0017,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,21.0,Very Low,6.5,,,,,,,,,,,,IMPORTED,
GPC-0018,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0018,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,24.0,Very Low,14.58,,,,,,,,,,,,IMPORTED,
GPC-0019,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0019,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,25.0,Very Low,26.53,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0020,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0020,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,28.0,Very Low,8.28,,,,,,,,,,,,IMPORTED,
GPC-0021,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0021,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,35.0,Very Low,15.1,,,,,,,,,,,,IMPORTED,
GPC-0022,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0022,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,30.0,Very Low,26.94,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0023,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0023,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,32.0,Very Low,9.1,,,,,,,,,,,,IMPORTED,
GPC-0024,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0024,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,38.0,Very Low,15.15,,,,,,,,,,,,IMPORTED,
GPC-0025,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0025,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,33.0,Very Low,4.8,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0026,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0026,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,35.0,Very Low,3.6,,,,,,,,,,,,IMPORTED,
GPC-0027,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0027,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,39.0,Very Low,6.32,,,,,,,,,,,,IMPORTED,
GPC-0028,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0028,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient,,,28.0,,,,41.0,Low,2.25,,,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0029,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0029,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.45,Ambient,,,28.0,,,,43.0,Low,1.12,,,,,,,,,,,,IMPORTED,
GPC-0030,AASB_WORKABILITY_AND_28D_COMPRESSIVE,Bundled reference dataset,Workability and AAS:B response,GPC-0030,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.5,Ambient,,,28.0,,,,49.0,Low,2.28,,,,,,,,,,,,IMPORTED,
GPC-0031,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0031,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,20.24,1.46,1.57,,,,,,,,,,IMPORTED,
GPC-0032,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0032,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,28.3,1.54,1.75,,,,,,,,,,IMPORTED,
GPC-0033,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0033,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,23.8,1.62,1.76,,,,,,,,,,IMPORTED,
GPC-0034,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0034,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,18.22,1.17,1.5,,,,,,,,,,IMPORTED,
GPC-0035,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0035,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,18.1,1.1,1.23,,,,,,,,,,IMPORTED,
GPC-0036,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0036,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,17.86,0.86,0.9,,,,,,,,,,IMPORTED,
GPC-0037,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0037,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,17.69,0.65,0.76,,,,,,,,,,IMPORTED,
GPC-0038,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0038,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,17.63,0.53,0.75,,,,,,,,,,IMPORTED,
GPC-0039,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0039,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,4.8,0.34,0.61,,,,,,,,,,IMPORTED,
GPC-0040,AMBIENT_7D_MECHANICAL,Bundled reference dataset,Ambient 7-day mechanical properties,GPC-0040,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,7.0,,,,,,2.25,0.16,0.5,,,,,,,,,,IMPORTED,
GPC-0041,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0041,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,43.56,2.22,3.0,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0042,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0042,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,53.57,3.0,4.0,,,,,,,,,,IMPORTED,
GPC-0043,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0043,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,47.3,3.53,4.6,,,,,,,,,,IMPORTED,
GPC-0044,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0044,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,34.32,2.06,2.2,,,,,,,,,,IMPORTED,
GPC-0045,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0045,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,30.36,1.97,2.1,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0046,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0046,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,28.54,1.9,1.98,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0047,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0047,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,26.94,1.82,1.65,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0048,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0048,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,26.54,1.0,1.5,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0049,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0049,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,11.36,0.42,0.91,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0050,AMBIENT_28D_MECHANICAL,Bundled reference dataset,Ambient 28-day mechanical properties,GPC-0050,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient,,,28.0,,,,,,7.56,0.078,0.48,,,,,,,,,,REQUIRES_REVIEW,A second record for the same mix and nominal condition contains a different compressive-strength value. Review before combined analysis.
GPC-0051,OVEN_100C_24H_MECHANICAL,Bundled reference dataset,Oven-cured mechanical properties,GPC-0051,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Dry oven,100.0,24.0,,,,,,,40.69,2.04,2.75,,,,,,,,,,IMPORTED,
GPC-0052,OVEN_100C_24H_MECHANICAL,Bundled reference dataset,Oven-cured mechanical properties,GPC-0052,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Dry oven,100.0,24.0,,,,,,,49.5,2.63,3.33,,,,,,,,,,IMPORTED,
GPC-0053,OVEN_100C_24H_MECHANICAL,Bundled reference dataset,Oven-cured mechanical properties,GPC-0053,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Dry oven,100.0,24.0,,,,,,,43.44,3.16,4.3,,,,,,,,,,IMPORTED,
GPC-0054,OVEN_100C_24H_MECHANICAL,Bundled reference dataset,Oven-cured mechanical properties,GPC-0054,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Dry oven,100.0,24.0,,,,,,,32.09,1.86,2.0,,,,,,,,,,IMPORTED,
GPC-0055,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0055,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,3886.0,Good,32.6,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0056,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0056,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,4065.0,Good,47.94,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0057,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0057,M3,20:70:10,20.0,70.0,10.0,1186.03,508.3,100.81,403.25,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,6429.0,Excellent,42.33,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0058,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0058,M4,30:60:10,30.0,60.0,10.0,1186.03,508.3,151.22,352.84,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,3049.0,Good,17.0,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0059,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0059,M5,40:50:10,40.0,50.0,10.0,1186.03,508.3,201.63,252.04,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,3409.0,Good,17.11,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0060,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0060,M6,50:40:10,50.0,40.0,10.0,1186.03,508.3,252.04,201.63,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,2903.0,Poor,17.12,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0061,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0061,M7,60:30:10,60.0,30.0,10.0,1186.03,508.3,352.84,151.22,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,2985.0,Poor,17.0,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0062,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0062,M8,70:20:10,70.0,20.0,10.0,1186.03,508.3,403.25,100.81,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,3415.0,Satisfactory,18.0,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0063,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0063,M9,80:10:10,80.0,10.0,10.0,1186.03,508.3,453.66,50.41,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,2825.0,Poor,8.65,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0064,NON_DESTRUCTIVE_TESTS,Bundled reference dataset,Non-destructive measurements,GPC-0064,M10,90:0:10,90.0,0.0,10.0,1186.03,508.3,504.07,0.0,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,0.4,Ambient (reported context),,,,,,,,,,,,1520.0,Poor,4.5,,,,,,,IMPORTED,Measurement age is not available in this record.
GPC-0065,ACID_DURABILITY_28D,Bundled reference dataset,Acid-exposure durability,GPC-0065,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient before acid exposure,,,28.0,H2SO4,5.0,28.0,,,,,,,,,7.81,7.96,1.9206,43.56,36.32,16.6208,IMPORTED_WITH_DERIVED_VALUES,Mass-change and strength-loss percentages are calculated from the stored initial and exposed values.
GPC-0066,ACID_DURABILITY_28D,Bundled reference dataset,Acid-exposure durability,GPC-0066,M1,0:90:10,0.0,90.0,10.0,1186.03,508.3,0.0,504.07,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient before acid exposure,,,28.0,HCl,5.0,28.0,,,,,,,,,7.81,7.79,-0.2561,43.56,36.32,16.6208,IMPORTED_WITH_DERIVED_VALUES,Mass-change and strength-loss percentages are calculated from the stored initial and exposed values.
GPC-0067,ACID_DURABILITY_28D,Bundled reference dataset,Acid-exposure durability,GPC-0067,M2,10:80:10,10.0,80.0,10.0,1186.03,508.3,50.41,453.66,50.41,67.21,134.42,10.0,2.0,Na2SiO3:NaOH = 2:1,,Ambient before acid exposure,,,28.0,H2SO4,5.0,28.0,,,,,,,,,7.7,7.86,2.0779,53.57,39.5,26.2647,IMPORTED_WITH_DERIVED_VALUES,Mass-change and strength-loss percentages are calculated from the stored initial and exposed values.
